run_id,char_id,class,spec,hero_talent,role,region,dungeon,key_level,timed,duration_s,dps,deaths,item_level,date,reset_bucket,post_tuning,keystone_s,pct_under_timer
6002,80,Evoker,Preservation,Flameshaper,Healer,US,Kings' Rest,19,0,2060.8,88131,4,334,2026-08-08,0,1,2173.0,-9.7
6002,8975,DeathKnight,Frost,Deathbringer,DPS,US,Kings' Rest,19,0,2060.8,195766,1,334,2026-08-08,0,1,2173.0,-9.7
6002,8976,Druid,Balance,Elune's Chosen,DPS,US,Kings' Rest,19,0,2060.8,218024,2,334,2026-08-08,0,1,2173.0,-9.7
6002,8977,Mage,Arcane,Sunfury,DPS,US,Kings' Rest,19,0,2060.8,240011,1,334,2026-08-08,0,1,2173.0,-9.7
6003,8978,DeathKnight,Blood,San'layn,Tank,EU,Den of Nalorakk,15,0,1895.9,100438,0,334,2026-08-08,0,1,1962.0,-2.2
6003,8979,Priest,Holy,Oracle,Healer,EU,Den of Nalorakk,15,0,1895.9,26824,0,334,2026-08-08,0,1,1962.0,-2.2
6003,6147,Mage,Arcane,Sunfury,DPS,EU,Den of Nalorakk,15,0,1895.9,214703,1,334,2026-08-08,0,1,1962.0,-2.2
6003,8980,Rogue,Subtlety,Deathstalker,DPS,EU,Den of Nalorakk,15,0,1895.9,244076,1,334,2026-08-08,0,1,1962.0,-2.2
6003,2736,DemonHunter,Devourer,Annihilator,DPS,EU,Den of Nalorakk,15,0,1895.9,174274,2,334,2026-08-08,0,1,1962.0,-2.2
6004,8981,DeathKnight,Blood,San'layn,Tank,US,Altar of Fangs,15,0,2013.9,175886,1,334,2026-08-08,0,1,2231.0,-23.9
6004,8665,Paladin,Holy,Lightsmith,Healer,US,Altar of Fangs,15,0,2013.9,30683,6,334,2026-08-08,0,1,2231.0,-23.9
6004,8982,Mage,Arcane,Sunfury,DPS,US,Altar of Fangs,15,0,2013.9,224445,4,334,2026-08-08,0,1,2231.0,-23.9
6004,801,Warlock,Affliction,Soul Harvester,DPS,US,Altar of Fangs,15,0,2013.9,292689,4,334,2026-08-08,0,1,2231.0,-23.9
6004,8983,DeathKnight,Frost,Deathbringer,DPS,US,Altar of Fangs,15,0,2013.9,212188,5,334,2026-08-08,0,1,2231.0,-23.9
6005,8984,DeathKnight,Blood,San'layn,Tank,EU,Ruby Life Pools,15,1,1252.2,221666,0,334,2026-08-08,0,1,1304.0,22.4
6005,8985,Shaman,Restoration,Totemic,Healer,EU,Ruby Life Pools,15,1,1252.2,53598,0,334,2026-08-08,0,1,1304.0,22.4
6005,8986,Warrior,Arms,Slayer,DPS,EU,Ruby Life Pools,15,1,1252.2,361324,3,334,2026-08-08,0,1,1304.0,22.4
6005,5917,DemonHunter,Havoc,Fel-Scarred,DPS,EU,Ruby Life Pools,15,1,1252.2,310364,0,334,2026-08-08,0,1,1304.0,22.4
6005,8987,Rogue,Outlaw,Trickster,DPS,EU,Ruby Life Pools,15,1,1252.2,252001,1,334,2026-08-08,0,1,1304.0,22.4
6006,8988,Paladin,Protection,Unknown,Tank,US,Temple of Sethraliss,15,0,1967.3,96991,2,334,2026-08-08,0,1,2049.0,-5.1
6006,8063,Paladin,Holy,Unknown,Healer,US,Temple of Sethraliss,15,0,1967.3,17230,1,334,2026-08-08,0,1,2049.0,-5.1
6006,549,Evoker,Devastation,Unknown,DPS,US,Temple of Sethraliss,15,0,1967.3,227099,4,334,2026-08-08,0,1,2049.0,-5.1
6006,8989,Priest,Shadow,Unknown,DPS,US,Temple of Sethraliss,15,0,1967.3,229127,3,334,2026-08-08,0,1,2049.0,-5.1
6006,8990,DeathKnight,Unholy,Unknown,DPS,US,Temple of Sethraliss,15,0,1967.3,210393,2,334,2026-08-08,0,1,2049.0,-5.1
6007,79,DeathKnight,Blood,San'layn,Tank,US,The Blinding Vale,18,1,1591.7,206263,0,334,2026-08-08,0,1,1598.0,14.1
6007,563,Paladin,Holy,Herald of the Sun,Healer,US,The Blinding Vale,18,1,1591.7,49134,0,334,2026-08-08,0,1,1598.0,14.1
6007,248,Monk,Windwalker,Conduit of the Celestials,DPS,US,The Blinding Vale,18,1,1591.7,337338,1,334,2026-08-08,0,1,1598.0,14.1
6007,8991,DemonHunter,Devourer,Annihilator,DPS,US,The Blinding Vale,18,1,1591.7,328345,0,334,2026-08-08,0,1,1598.0,14.1
6007,8992,Mage,Arcane,Sunfury,DPS,US,The Blinding Vale,18,1,1591.7,358386,0,334,2026-08-08,0,1,1598.0,14.1
6008,8993,DeathKnight,Blood,San'layn,Tank,EU,Den of Nalorakk,12,0,2015.8,104510,1,321,2026-08-08,0,1,2187.0,-13.9
6008,8994,Priest,Holy,Oracle,Healer,EU,Den of Nalorakk,12,0,2015.8,26518,4,321,2026-08-08,0,1,2187.0,-13.9
6008,8899,Mage,Arcane,Sunfury,DPS,EU,Den of Nalorakk,12,0,2015.8,151535,5,321,2026-08-08,0,1,2187.0,-13.9
6008,8973,DemonHunter,Devourer,Annihilator,DPS,EU,Den of Nalorakk,12,0,2015.8,106868,1,321,2026-08-08,0,1,2187.0,-13.9
6008,8995,Warrior,Arms,Slayer,DPS,EU,Den of Nalorakk,12,0,2015.8,184598,4,321,2026-08-08,0,1,2187.0,-13.9
6009,8996,DeathKnight,Blood,San'layn,Tank,EU,Voidscar Arena,15,0,1664.2,159958,1,334,2026-08-08,0,1,1911.0,-6.2
6009,8027,Druid,Restoration,Keeper of the Grove,Healer,EU,Voidscar Arena,15,0,1664.2,15436,3,334,2026-08-08,0,1,1911.0,-6.2
6009,8997,Shaman,Elemental,Farseer,DPS,EU,Voidscar Arena,15,0,1664.2,222847,6,334,2026-08-08,0,1,1911.0,-6.2
6009,8998,Druid,Balance,Elune's Chosen,DPS,EU,Voidscar Arena,15,0,1664.2,254732,3,334,2026-08-08,0,1,1911.0,-6.2
6009,8999,Monk,Windwalker,Conduit of the Celestials,DPS,EU,Voidscar Arena,15,0,1664.2,170607,5,334,2026-08-08,0,1,1911.0,-6.2
6010,9000,DeathKnight,Blood,San'layn,Tank,US,Ruby Life Pools,15,0,1744.4,177261,1,334,2026-08-08,0,1,1916.0,-14.1
6010,3124,Priest,Holy,Oracle,Healer,US,Ruby Life Pools,15,0,1744.4,9053,0,334,2026-08-08,0,1,1916.0,-14.1
6010,9001,DemonHunter,Devourer,Void-Scarred,DPS,US,Ruby Life Pools,15,0,1744.4,218978,5,334,2026-08-08,0,1,1916.0,-14.1
6010,24,Evoker,Augmentation,Chronowarden,DPS,US,Ruby Life Pools,15,0,1744.4,238600,1,334,2026-08-08,0,1,1916.0,-14.1
6010,9002,Warrior,Arms,Slayer,DPS,US,Ruby Life Pools,15,0,1744.4,285899,5,334,2026-08-08,0,1,1916.0,-14.1
6011,9003,DeathKnight,Blood,Deathbringer,Tank,EU,Temple of Sethraliss,16,0,2386.4,129936,2,334,2026-08-08,0,1,2543.0,-30.4
6011,9004,Paladin,Holy,Herald of the Sun,Healer,EU,Temple of Sethraliss,16,0,2386.4,8784,7,334,2026-08-08,0,1,2543.0,-30.4
6011,9005,DemonHunter,Devourer,Annihilator,DPS,EU,Temple of Sethraliss,16,0,2386.4,152276,5,334,2026-08-08,0,1,2543.0,-30.4
6011,8743,Shaman,Elemental,Farseer,DPS,EU,Temple of Sethraliss,16,0,2386.4,234282,5,334,2026-08-08,0,1,2543.0,-30.4
6011,9006,Warlock,Destruction,Diabolist,DPS,EU,Temple of Sethraliss,16,0,2386.4,260494,5,334,2026-08-08,0,1,2543.0,-30.4
6012,6772,Monk,Brewmaster,Master of Harmony,Tank,US,Ruby Life Pools,12,1,1362.9,116607,0,321,2026-08-08,0,1,1400.0,16.7
6012,9007,Shaman,Restoration,Totemic,Healer,US,Ruby Life Pools,12,1,1362.9,31962,1,321,2026-08-08,0,1,1400.0,16.7
6012,9008,DeathKnight,Unholy,San'layn,DPS,US,Ruby Life Pools,12,1,1362.9,199233,0,321,2026-08-08,0,1,1400.0,16.7
6012,6853,Rogue,Subtlety,Trickster,DPS,US,Ruby Life Pools,12,1,1362.9,190405,0,321,2026-08-08,0,1,1400.0,16.7
6012,6852,Warrior,Arms,Slayer,DPS,US,Ruby Life Pools,12,1,1362.9,237903,2,321,2026-08-08,0,1,1400.0,16.7
6013,5540,DeathKnight,Blood,San'layn,Tank,CN,Altar of Fangs,19,1,1725.7,234672,0,334,2026-08-08,0,1,1748.0,2.9
6013,3510,Paladin,Holy,Lightsmith,Healer,CN,Altar of Fangs,19,1,1725.7,49428,1,334,2026-08-08,0,1,1748.0,2.9
6013,8740,Shaman,Elemental,Farseer,DPS,CN,Altar of Fangs,19,1,1725.7,397123,0,334,2026-08-08,0,1,1748.0,2.9
6013,516,Mage,Arcane,Sunfury,DPS,CN,Altar of Fangs,19,1,1725.7,364788,1,334,2026-08-08,0,1,1748.0,2.9
6013,6548,DeathKnight,Unholy,San'layn,DPS,CN,Altar of Fangs,19,1,1725.7,396628,0,334,2026-08-08,0,1,1748.0,2.9
6014,9009,DeathKnight,Blood,San'layn,Tank,CN,Ruby Life Pools,18,0,1972.2,169520,2,334,2026-08-08,0,1,1994.0,-18.7
6014,7780,Paladin,Holy,Herald of the Sun,Healer,CN,Ruby Life Pools,18,0,1972.2,28415,0,334,2026-08-08,0,1,1994.0,-18.7
6014,9010,Shaman,Elemental,Farseer,DPS,CN,Ruby Life Pools,18,0,1972.2,259586,2,334,2026-08-08,0,1,1994.0,-18.7
6014,8740,Shaman,Elemental,Farseer,DPS,CN,Ruby Life Pools,18,0,1972.2,321707,0,334,2026-08-08,0,1,1994.0,-18.7
6014,8690,DemonHunter,Havoc,Fel-Scarred,DPS,CN,Ruby Life Pools,18,0,1972.2,288651,0,334,2026-08-08,0,1,1994.0,-18.7
6015,8083,DeathKnight,Blood,San'layn,Tank,EU,The Blinding Vale,15,1,1355.4,190523,0,334,2026-08-08,0,1,1362.0,26.8
6015,7735,Paladin,Holy,Lightsmith,Healer,EU,The Blinding Vale,15,1,1355.4,35788,1,334,2026-08-08,0,1,1362.0,26.8
6015,154,DemonHunter,Devourer,Annihilator,DPS,EU,The Blinding Vale,15,1,1355.4,265559,0,334,2026-08-08,0,1,1362.0,26.8
6015,8940,Mage,Arcane,Sunfury,DPS,EU,The Blinding Vale,15,1,1355.4,302005,0,334,2026-08-08,0,1,1362.0,26.8
6015,8939,Shaman,Elemental,Farseer,DPS,EU,The Blinding Vale,15,1,1355.4,296147,0,334,2026-08-08,0,1,1362.0,26.8
6016,5540,DeathKnight,Blood,San'layn,Tank,CN,Den of Nalorakk,19,1,1764.9,190635,0,334,2026-08-08,0,1,1816.0,5.4
6016,3510,Paladin,Holy,Lightsmith,Healer,CN,Den of Nalorakk,19,1,1764.9,48876,1,334,2026-08-08,0,1,1816.0,5.4
6016,8740,Shaman,Elemental,Farseer,DPS,CN,Den of Nalorakk,19,1,1764.9,302677,2,334,2026-08-08,0,1,1816.0,5.4
6016,516,Mage,Arcane,Sunfury,DPS,CN,Den of Nalorakk,19,1,1764.9,296600,0,334,2026-08-08,0,1,1816.0,5.4
6016,6548,DeathKnight,Frost,Deathbringer,DPS,CN,Den of Nalorakk,19,1,1764.9,311962,1,334,2026-08-08,0,1,1816.0,5.4
6017,5540,DeathKnight,Blood,San'layn,Tank,CN,Kings' Rest,19,1,1786.2,150181,0,334,2026-08-08,0,1,1807.0,8.7
6017,3510,Paladin,Holy,Lightsmith,Healer,CN,Kings' Rest,19,1,1786.2,53250,0,334,2026-08-08,0,1,1807.0,8.7
6017,8740,Shaman,Elemental,Farseer,DPS,CN,Kings' Rest,19,1,1786.2,251781,1,334,2026-08-08,0,1,1807.0,8.7
6017,516,Mage,Arcane,Sunfury,DPS,CN,Kings' Rest,19,1,1786.2,265334,0,334,2026-08-08,0,1,1807.0,8.7
6017,6548,DeathKnight,Unholy,San'layn,DPS,CN,Kings' Rest,19,1,1786.2,235508,1,334,2026-08-08,0,1,1807.0,8.7
6018,8930,DeathKnight,Blood,San'layn,Tank,EU,Murder Row,15,1,1856.9,103696,1,334,2026-08-07,0,1,1924.0,5.7
6018,7735,Paladin,Holy,Lightsmith,Healer,EU,Murder Row,15,1,1856.9,29989,0,334,2026-08-07,0,1,1924.0,5.7
6018,154,DemonHunter,Devourer,Annihilator,DPS,EU,Murder Row,15,1,1856.9,221530,2,334,2026-08-07,0,1,1924.0,5.7
6018,153,Mage,Arcane,Sunfury,DPS,EU,Murder Row,15,1,1856.9,284211,1,334,2026-08-07,0,1,1924.0,5.7
6018,1464,Shaman,Elemental,Farseer,DPS,EU,Murder Row,15,1,1856.9,238734,1,334,2026-08-07,0,1,1924.0,5.7
6019,9011,DeathKnight,Blood,San'layn,Tank,CN,Kings' Rest,15,1,1445.0,99373,0,334,2026-08-08,0,1,1512.0,23.7
6019,9012,Evoker,Preservation,Flameshaper,Healer,CN,Kings' Rest,15,1,1445.0,63725,1,334,2026-08-08,0,1,1512.0,23.7
6019,9013,DemonHunter,Havoc,Fel-Scarred,DPS,CN,Kings' Rest,15,1,1445.0,185436,3,334,2026-08-08,0,1,1512.0,23.7
6019,9014,Mage,Arcane,Sunfury,DPS,CN,Kings' Rest,15,1,1445.0,264342,0,334,2026-08-08,0,1,1512.0,23.7
6019,8868,Warrior,Arms,Slayer,DPS,CN,Kings' Rest,15,1,1445.0,203691,1,334,2026-08-08,0,1,1512.0,23.7
6020,8840,DeathKnight,Blood,San'layn,Tank,CN,Voidscar Arena,20,1,1548.0,235651,1,334,2026-08-08,0,1,1600.0,11.1
6020,5969,Paladin,Holy,Lightsmith,Healer,CN,Voidscar Arena,20,1,1548.0,72330,1,334,2026-08-08,0,1,1600.0,11.1
6020,7716,Warrior,Arms,Slayer,DPS,CN,Voidscar Arena,20,1,1548.0,380345,1,334,2026-08-08,0,1,1600.0,11.1
6020,290,Mage,Arcane,Sunfury,DPS,CN,Voidscar Arena,20,1,1548.0,422772,0,334,2026-08-08,0,1,1600.0,11.1
6020,8542,Shaman,Elemental,Farseer,DPS,CN,Voidscar Arena,20,1,1548.0,388287,1,334,2026-08-08,0,1,1600.0,11.1
6021,3527,Druid,Guardian,Druid of the Claw,Tank,EU,Voidscar Arena,19,1,1653.0,153331,0,334,2026-08-07,0,1,1689.0,6.1
6021,390,Paladin,Holy,Herald of the Sun,Healer,EU,Voidscar Arena,19,1,1653.0,39107,1,334,2026-08-07,0,1,1689.0,6.1
6021,336,Warlock,Demonology,Diabolist,DPS,EU,Voidscar Arena,19,1,1653.0,339753,1,334,2026-08-07,0,1,1689.0,6.1
6021,401,DemonHunter,Devourer,Void-Scarred,DPS,EU,Voidscar Arena,19,1,1653.0,359198,0,334,2026-08-07,0,1,1689.0,6.1
6021,9015,Mage,Arcane,Sunfury,DPS,EU,Voidscar Arena,19,1,1653.0,313759,1,334,2026-08-07,0,1,1689.0,6.1
6022,7630,DeathKnight,Blood,San'layn,Tank,EU,Kings' Rest,19,1,1935.4,136077,0,334,2026-08-09,0,1,1957.0,1.2
6022,390,Paladin,Holy,Herald of the Sun,Healer,EU,Kings' Rest,19,1,1935.4,41089,1,334,2026-08-09,0,1,1957.0,1.2
6022,9016,Mage,Arcane,Sunfury,DPS,EU,Kings' Rest,19,1,1935.4,269264,0,334,2026-08-09,0,1,1957.0,1.2
6022,1039,Priest,Shadow,Voidweaver,DPS,EU,Kings' Rest,19,1,1935.4,231265,1,334,2026-08-09,0,1,1957.0,1.2
6022,2962,DeathKnight,Unholy,San'layn,DPS,EU,Kings' Rest,19,1,1935.4,219948,0,334,2026-08-09,0,1,1957.0,1.2
6023,5382,DeathKnight,Blood,San'layn,Tank,EU,Voidscar Arena,10,1,1454.7,99552,2,321,2026-08-08,0,1,1516.0,15.8
6023,8027,Druid,Restoration,Keeper of the Grove,Healer,EU,Voidscar Arena,10,1,1454.7,13409,2,321,2026-08-08,0,1,1516.0,15.8
6023,9017,Monk,Windwalker,Shado-Pan,DPS,EU,Voidscar Arena,10,1,1454.7,150395,4,321,2026-08-08,0,1,1516.0,15.8
6023,9018,Mage,Fire,Sunfury,DPS,EU,Voidscar Arena,10,1,1454.7,192882,2,321,2026-08-08,0,1,1516.0,15.8
6023,9019,DemonHunter,Devourer,Void-Scarred,DPS,EU,Voidscar Arena,10,1,1454.7,183080,4,321,2026-08-08,0,1,1516.0,15.8
6024,9020,DemonHunter,Vengeance,Aldrachi Reaver,Tank,EU,Kings' Rest,14,1,1814.1,63810,1,321,2026-08-08,0,1,1880.0,5.0
6024,8200,Shaman,Restoration,Totemic,Healer,EU,Kings' Rest,14,1,1814.1,35222,1,321,2026-08-08,0,1,1880.0,5.0
6024,8225,Warlock,Destruction,Diabolist,DPS,EU,Kings' Rest,14,1,1814.1,155404,1,321,2026-08-08,0,1,1880.0,5.0
6024,9021,Paladin,Retribution,Herald of the Sun,DPS,EU,Kings' Rest,14,1,1814.1,161732,2,321,2026-08-08,0,1,1880.0,5.0
6024,8254,Mage,Arcane,Sunfury,DPS,EU,Kings' Rest,14,1,1814.1,197233,0,321,2026-08-08,0,1,1880.0,5.0
6025,7578,DeathKnight,Blood,San'layn,Tank,US,Ruby Life Pools,10,1,1616.7,129696,1,321,2026-08-08,0,1,1678.0,0.1
6025,9022,Druid,Restoration,Wildstalker,Healer,US,Ruby Life Pools,10,1,1616.7,1366,2,321,2026-08-08,0,1,1678.0,0.1
6025,7638,Druid,Balance,Elune's Chosen,DPS,US,Ruby Life Pools,10,1,1616.7,121362,6,321,2026-08-08,0,1,1678.0,0.1
6025,7582,Mage,Arcane,Spellslinger,DPS,US,Ruby Life Pools,10,1,1616.7,183992,2,321,2026-08-08,0,1,1678.0,0.1
